LinkRef,Date,TimePeriod,AverageJT
4,2014-10-07,00:00,70.36
4,2014-10-07,00:15,75.45
4,2014-10-07,00:30,73.38
4,2014-10-07,00:45,74.22
4,2014-10-07,01:00,78.86
4,2014-10-07,01:15,69.35
4,2014-10-07,01:30,72.27
4,2014-10-07,01:45,75.72
4,2014-10-07,02:00,71.49
4,2014-10-07,02:15,77.07
4,2014-10-07,02:30,76.00
4,2014-10-07,02:45,81.50
4,2014-10-07,03:00,78.39
4,2014-10-07,03:15,76.11
4,2014-10-07,03:30,75.78
4,2014-10-07,03:45,75.72
4,2014-10-07,04:00,74.59
4,2014-10-07,04:15,73.00
4,2014-10-07,04:30,71.91
4,2014-10-07,04:45,72.20
4,2014-10-07,05:00,69.68
4,2014-10-07,05:15,68.67
4,2014-10-07,05:30,70.17
4,2014-10-07,05:45,69.51
4,2014-10-07,06:00,70.16
4,2014-10-07,06:15,73.52
4,2014-10-07,06:30,79.53
4,2014-10-07,06:45,81.96
4,2014-10-07,07:00,81.23
4,2014-10-07,07:15,89.29
4,2014-10-07,07:30,87.24
4,2014-10-07,07:45,94.68
4,2014-10-07,08:00,96.84
4,2014-10-07,08:15,98.08
4,2014-10-07,08:30,95.54
4,2014-10-07,08:45,96.87
4,2014-10-07,09:00,95.07
4,2014-10-07,09:15,95.12
4,2014-10-07,09:30,90.51
4,2014-10-07,09:45,75.34
4,2014-10-07,10:00,72.03
4,2014-10-07,10:15,73.07
4,2014-10-07,10:30,72.19
4,2014-10-07,10:45,73.56
4,2014-10-07,11:00,72.76
4,2014-10-07,11:15,71.06
4,2014-10-07,11:30,70.72
4,2014-10-07,11:45,70.47
4,2014-10-07,12:00,71.79
4,2014-10-07,12:15,71.24
4,2014-10-07,12:30,71.86
4,2014-10-07,12:45,71.11
4,2014-10-07,13:00,70.40
4,2014-10-07,13:15,70.37
4,2014-10-07,13:30,72.42
4,2014-10-07,13:45,70.13
4,2014-10-07,14:00,70.54
4,2014-10-07,14:15,71.34
4,2014-10-07,14:30,71.28
4,2014-10-07,14:45,69.94
4,2014-10-07,15:00,72.71
4,2014-10-07,15:15,71.23
4,2014-10-07,15:30,70.86
4,2014-10-07,15:45,71.01
